EU Regulation,UK regulation ID
R130217,N1900120
R170109,N1900090
R181722,N1900010
R190244,N1900340
R160676,N1900080
R151518,N1900080
R181121,N1900080
R151519,N1900260
R160675,N1900260
R130157,N1900110
R180140,N1900220
R130412,N1900140
R140803,N1900140
R172207,N1900140
R172179,N1900100
R190297,N1900030
R161328,N1900180
R170724,N1900150
R141379,N1900270
R180186,N1900230
R151953,N1900160
R170336,N1900200
R170969,N1900190
R171795,N1900210
R130695,N1900040
R130214,N1900130
R130215,N1900290
R130461,N1900250
R140190,N1900250
R181468,N1900250
R150865,N1900060
R150309,N1900300
R161246,N1900170
R171141,N1900280
R180607,N1900020
R190159,N1900330
R181690,N1900240
R150110,N1900050
R151846,N1900070
