EU Regulation,TAP ID
R060765,X1900740
R171509,X1900750
R171548,X1900750
R171836,X1900750
R172062,X1900750
R180285,X1900750
R120264,X1900800
R130401,X1900810
R150735,X1900820
D140512,X1900830
R140833,X1900830
D151764,X1900830
R160044,X1900860
R171325,X1900860
R140747,X1900880
R120036,X1900890
R120168,X1900890
R120509,X1900890
R130697,X1900890
R131332,X1900890
R141323,X1900890
R172063,X1900950
R141382,X1900960
R152420,X1900960
R161969,X1900960
R172268,X1900960
D140088,X1901000
D060232,X1901010
R171263,X1901020
